feature_name,data_type,missing_count,missing_pct
transaction_id,object,0,0.0
week_id,object,0,0.0
product_id,object,0,0.0
region_id,object,0,0.0
channel_id,object,0,0.0
units_sold,int64,0,0.0
revenue_ngn,float64,0,0.0
cost_of_goods_sold,float64,0,0.0
promo_discount_ngn,float64,0,0.0
baseline_demand,int64,0,0.0
week_start_date,datetime64[ns],0,0.0
year,int64,0,0.0
quarter,object,0,0.0
month_number,int64,0,0.0
month_name,object,0,0.0
week_of_year,int64,0,0.0
season,object,0,0.0
festive_period,object,0,0.0
is_holiday_week,int64,0,0.0
product_name,object,0,0.0
category,object,0,0.0
brand,object,0,0.0
region_name,object,0,0.0
wealth_index,float64,0,0.0
is_promo,int64,0,0.0
promo_discount_pct,float64,0,0.0
week_number,UInt32,0,0.0
month,int32,0,0.0
day_of_year,int32,0,0.0
month_sin,float64,0,0.0
month_cos,float64,0,0.0
week_sin,float64,0,0.0
week_cos,float64,0,0.0
units_sold_lag_1,float64,576,0.64
units_sold_lag_2,float64,1152,1.28
units_sold_lag_4,float64,2304,2.56
units_sold_lag_8,float64,4608,5.13
units_sold_lag_12,float64,6912,7.69
units_sold_lag_26,float64,14976,16.67
units_sold_lag_52,float64,29952,33.33
revenue_lag_1,float64,576,0.64
revenue_lag_4,float64,2304,2.56
revenue_lag_52,float64,29952,33.33
rolling_mean_4wk,float64,0,0.0
rolling_std_4wk,float64,576,0.64
rolling_mean_8wk,float64,0,0.0
rolling_std_8wk,float64,576,0.64
rolling_mean_12wk,float64,0,0.0
rolling_std_12wk,float64,576,0.64
rolling_max_12wk,float64,0,0.0
rolling_min_12wk,float64,0,0.0
ewma_4,float64,0,0.0
ewma_12,float64,0,0.0
season_Harmattan,bool,0,0.0
season_Hot_Dry,bool,0,0.0
season_Rainy,bool,0,0.0
festive_Back_to_School,bool,0,0.0
festive_Christmas,bool,0,0.0
festive_Eid,bool,0,0.0
festive_Ramadan,bool,0,0.0
festive_Regular,bool,0,0.0
channel_Modern_Trade,bool,0,0.0
channel_Traditional_Trade,bool,0,0.0
category_Dairy,bool,0,0.0
category_Juice,bool,0,0.0
category_Snacks,bool,0,0.0
product_id_encoded,int32,0,0.0
region_id_encoded,int32,0,0.0
promo_x_hot_dry,int64,0,0.0
promo_x_rainy,int64,0,0.0
promo_x_christmas,int64,0,0.0
promo_x_ramadan,int64,0,0.0
wealth_x_hot_dry,float64,0,0.0
units_sold_wow_growth,float64,576,0.64
units_sold_4w_growth,float64,2304,2.56
units_sold_yoy_growth,float64,29952,33.33
